"Bill of Material for DS214SD.PrjPCB"
"On 17.07.2009 at 13:05:53"

"Comment","Pattern","Quantity","Components"

"0*","R0402","2","R16_1, R16_2","Resistor"
"0.01.","C0402","4","C29_1, C29_2, C30_1, C30_2","Capacitor"
"0.015","C0805","2","C34_1, C34_2","Capacitor"
"0.01x630V","C100N","1","C1","Capacitor"
"0.1.","C0402","40","C8_1, C8_2, C9_1, C9_2, C10_1, C10_2, C11_1, C11_2, C12_1, C12_2, C13_1, C13_2, C14_1, C14_2, C15_1, C15_2, C16_1, C16_2, C17_1, C17_2, C18_1, C18_2, C19_1, C19_2, C20_1, C20_2, C21_1, C21_2, C22_1, C22_2, C23_1, C23_2, C24_1, C24_2, C25_1, C25_2, C26_1, C26_2, C27_1, C27_2","Capacitor"
"0.1","C0805","3","C2, C3, C4","Capacitor"
"1.0","C0805","16","C35_1, C35_2, C36_1, C36_2, C37_1, C37_2, C38_1, C38_2, C39_1, C39_2, C40_1, C40_2, C41_1, C41_2, C42_1, C42_2","Capacitor"
"1.8K","R0805","3","R3, R10_1, R10_2","Resistor"
"100x25V","CPOL25","2","C6, C7","Polarized Capacitor (Radial)"
"10K","R0805","2","R33, R34","Resistor"
"10x10V","TA1206","4","C32_1, C32_2, C33_1, C33_2","Polarized Capacitor (Radial)"
"113","R0805","2","R14_1, R14_2","Resistor"
"150.","R0402","4","R11_1, R11_2, R12_1, R12_2","Resistor"
"150nH","L0805","12","L3_1, L3_2, L4_1, L4_2, L5_1, L5_2, L6_1, L6_2, L7_1, L7_2, L8_1, L8_2",""
"18nH","L0805","2","L2_1, L2_2",""
"1A","FUSE","1","F1","Fuse"
"1K","R0805","2","R13_1, R13_2","Resistor"
"3.3pF","C0805","2","C31_1, C31_2","Capacitor"
"33uH","L050","1","L1",""
"365","R0805","2","R15_1, R15_2","Resistor"
"4700pF","C0805","2","C28_1, C28_2","Capacitor"
"4700x25V","CPOL75L","1","C5","Polarized Capacitor (Radial)"
"510","R0805","1","R1","Resistor"
"56","R0805","8","R29_1, R29_2, R30_1, R30_2, R31_1, R31_2, R32_1, R32_2","Resistor"
"75.","R0402","24","R17_1, R17_2, R18_1, R18_2, R19_1, R19_2, R20_1, R20_2, R21_1, R21_2, R22_1, R22_2, R23_1, R23_2, R24_1, R24_2, R25_1, R25_2, R26_1, R26_2, R27_1, R27_2, R28_1, R28_2","Resistor"
"75","R0805","13","R2, R4_1, R4_2, R5_1, R5_2, R6_1, R6_2, R7_1, R7_2, R8_1, R8_2, R9_1, R9_2","Resistor"
"8.2nH","L0805","8","L9_1, L9_2, L10_1, L10_2, L11_1, L11_2, L12_1, L12_2",""
"BAS216","D0805","4","D3_1, D3_2, D4_1, D4_2","Default Diode"
"BAV99","SOT23-BAV99","2","D2_1, D2_2",""
"BNC-RJ-SD","BNC_RJ","10","JP1_1, JP1_2, JP2_1, JP2_2, JP3_1, JP3_2, JP4_1, JP4_2, JP5_1, JP5_2",""
"Bridge DI158S","SDIP","1","D1",""
"GS9024","SO-14","2","U2_1, U2_2",""
"GS9028","SO-8","8","U4_1, U4_2, U5_1, U5_2, U6_1, U6_2, U7_1, U7_2",""
"GS9035A","PLCC-28","2","U3_1, U3_2",""
"HEAD2","2SIP100","3","J3, J4_1, J4_2",""
"IRF5810","TSOP6","1","Q1","P-Channel MOSFET"
"MAINS3P","MAINS3P","1","J2",""
"MINIFIT4","MINIFIT4","1","J1",""
"PT5101A","PT5101A-LOW","1","U1",""
"RK1-12V","RELAY RK","2","RE1_1, RE1_2",""
"RK1R-12V","RELAY RK","2","RE2_1, RE2_2",""
"TR 2x9/777mA","TR14VA","1","TR1",""
